Shows Name,Release Year,Episodes,Rating,Rating given by people
Breaking Bad,2008–2013,62 eps,9.5, (2.2M)
Planet Earth II,2016,6 eps,9.5, (163K)
Planet Earth,2006,11 eps,9.4, (224K)
Band of Brothers,2001,10 eps,9.4, (547K)
Chernobyl,2019,5 eps,9.3, (912K)
The Wire,2002–2008,60 eps,9.3, (392K)
Avatar: The Last Airbender,2005–2008,62 eps,9.3, (392K)
Blue Planet II,2017,7 eps,9.3, (49K)
The Sopranos,1999–2007,86 eps,9.2, (501K)
Cosmos: A Spacetime Odyssey,2014,13 eps,9.2, (132K)
Cosmos,1980,13 eps,9.3, (46K)
Our Planet,2019–2023,12 eps,9.2, (54K)
Game of Thrones,2011–2019,74 eps,9.2, (2.4M)
Bluey,2018–,194 eps,9.3, (34K)
The World at War,1973–1974,26 eps,9.2, (32K)
Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,9.1, (210K)
Rick and Morty,2013–,78 eps,9.1, (629K)
Life,2009,11 eps,9.1, (44K)
The Last Dance,2020,10 eps,9.0, (161K)
The Twilight Zone,1959–1964,156 eps,9.0, (98K)
The Vietnam War,2017,10 eps,9.1, (30K)
Sherlock,2010–2017,15 eps,9.1, (1M)
Attack on Titan,2013–2023,98 eps,9.1, (567K)
Batman: The Animated Series,1992–1995,85 eps,9.0, (123K)
Arcane,2021–2024,18 eps,9.0, (342K)
Better Call Saul,2015–2022,63 eps,9.0, (695K)
The Office,2005–2013,188 eps,9.0, (749K)
The Blue Planet,2001,8 eps,9.0, (44K)
Clarkson's Farm,2021–,25 eps,9.0, (67K)
Scam 1992: The Harshad Mehta Story,2020,10 eps,9.2, (162K)
Human Planet,2011,8 eps,9.0, (29K)
Frozen Planet,2011–2012,10 eps,9.0, (34K)
Hunter x Hunter,2011–2014,148 eps,9.0, (151K)
Firefly,2002–2003,14 eps,8.9, (287K)
Only Fools and Horses,1981–2003,64 eps,9.0, (59K)
Death Note,2006–2007,37 eps,8.9, (403K)
The Civil War,1990,9 eps,9.0, (20K)
Gravity Falls,2012–2016,41 eps,8.9, (148K)
Seinfeld,1989–1998,172 eps,8.9, (362K)
Dekalog,1989–1990,10 eps,8.9, (29K)
The Beatles: Get Back,2021,3 eps,8.9, (30K)
Cowboy Bebop,1998–1999,26 eps,8.9, (147K)
True Detective,2014–,31 eps,8.9, (679K)
Fargo,2014–2024,51 eps,8.9, (435K)
Persona,2018–,22 eps,9.0, (50K)
Nathan for You,2013–2017,32 eps,8.9, (41K)
As If,2021–,56 eps,9.0, (26K)
Apocalypse: The Second World War,2009,6 eps,9.0, (16K)
Taskmaster,2015–,172 eps,9.0, (23K)
When They See Us,2019,4 eps,8.8, (144K)
Africa,2013,7 eps,8.9, (18K)
Last Week Tonight with John Oliver,2014–,372 eps,8.8, (98K)
Friends,1994–2004,235 eps,8.9, (1.1M)
Succession,2018–2023,39 eps,8.8, (298K)
It's Always Sunny in Philadelphia,2005–,172 eps,8.8, (260K)
TVF Pitchers,2015–2022,10 eps,9.1, (74K)
Frieren: Beyond Journey's End,2023–2024,28 eps,8.9, (29K)
The West Wing,1999–2006,155 eps,8.9, (89K)
One Piece,1999–,1137 eps,9.0, (273K)
Monty Python's Flying Circus,1969–1974,45 eps,8.8, (81K)
Curb Your Enthusiasm,2000–2024,120 eps,8.8, (153K)
Das Boot,1985,3 eps,8.8, (35K)
BoJack Horseman,2014–2020,77 eps,8.8, (201K)
The Chosen,2017–,36 eps,9.2, (52K)
Fawlty Towers,1975–1979,12 eps,8.8, (103K)
Leyla and Mecnun,2011–2023,144 eps,9.1, (98K)
Dragon Ball Z,1996–2003,277 eps,8.8, (156K)
Blackadder Goes Forth,1989,6 eps,8.8, (59K)
Freaks and Geeks,1999–2000,18 eps,8.8, (157K)
Pride and Prejudice,1995,6 eps,8.8, (95K)
Panchayat,2020–,32 eps,9.0, (99K)
Twin Peaks,1990–1991,30 eps,8.7, (223K)
Dragon Ball Z,1989–1996,291 eps,8.8, (92K)
Chappelle's Show,2003–2006,33 eps,8.8, (74K)
Narcos,2015–2017,30 eps,8.7, (487K)
Bleach: Thousand-Year Blood War,2022–,40 eps,9.0, (51K)
Gullak,2019–,20 eps,9.1, (25K)
Vinland Saga,2019–2023,48 eps,8.8, (87K)
"I, Claudius",1976,13 eps,8.8, (20K)
X-Men '97,2024–,12 eps,8.8, (39K)
Kota Factory,2019–2021,15 eps,9.0, (86K)
Black Mirror,2011–,33 eps,8.7, (663K)
South Park,1997–,327 eps,8.7, (415K)
Over the Garden Wall,2014,10 eps,8.7, (77K)
Ted Lasso,2020–,35 eps,8.8, (376K)
Reply 1988,2015–2016,20 eps,9.0, (14K)
Peaky Blinders,2013–2022,36 eps,8.7, (685K)
Six Feet Under,2001–2005,63 eps,8.7, (155K)
Rome,2005–2007,22 eps,8.7, (191K)
Steins;Gate,2011–2015,26 eps,8.8, (79K)
Oz,1997–2003,56 eps,8.7, (110K)
My Mister,2018,16 eps,9.0, (11K)
Dark,2017–2020,26 eps,8.7, (470K)
Berserk,1997–1998,25 eps,8.7, (60K)
The Last of Us,2023–,16 eps,8.7, (584K)
Fleabag,2016–2019,12 eps,8.7, (217K)
Downton Abbey,2010–2015,52 eps,8.7, (231K)
The Shield,2002–2008,89 eps,8.7, (91K)
Battlestar Galactica,2004–2009,74 eps,8.7, (180K)
The Penguin,2024,8 eps,8.7, (132K)
Severance,2022–,19 eps,8.7, (231K)
Blue Eye Samurai,2023–,8 eps,8.7, (82K)
The Grand Tour,2016–2024,46 eps,8.7, (88K)
The Simpsons,1989–,778 eps,8.7, (446K)
Mad Men,2007–2015,92 eps,8.7, (269K)
